,row_id,wap_mean,wap_std,log_return_mean,log_return_std,ask_size_mean,ask_size_std,ask_price_mean,ask_price_std,bid_size_mean,bid_size_std,bid_price_mean,bid_price_std,actual_price_mean,actual_price_std,size_mean,size_std,order_count_mean,order_count_std,target
1111,110-9285,1.004176617,0.00103163,3.96E-06,0.000153341,240.4166667,263.4700874,1.004571438,0.001039689,133.0902778,90.34512865,1.003935814,0.00100856,1.00002718,0.003324217,137.5788594,222.7686834,2.814852362,3.395486288,0.003571979
1112,110-9289,0.995917678,0.001355701,-1.32E-05,0.000277979,127.2772861,88.2400561,0.996642709,0.00146275,116.9262537,76.99921533,0.995322287,0.001351145,1.00002718,0.003324217,137.5788594,222.7686834,2.814852362,3.395486288,0.004967138
1113,110-9300,1.001701832,0.000502188,1.26E-05,1.50E-04,176.8941799,96.43826941,1.002067566,0.000421447,160.8042328,83.54950617,1.001379371,0.000549046,1.00002718,0.003324217,137.5788594,222.7686834,2.814852362,3.395486288,0.002847899
1114,110-9302,0.999193013,0.00072301,-1.55E-05,2.75E-04,97.76146789,109.3029174,0.999717057,0.000438281,117.1926606,155.8174666,0.998749614,0.00065142,1.00002718,0.003324217,137.5788594,222.7686834,2.814852362,3.395486288,0.002232682
1115,110-9311,0.999907434,0.000543066,9.74E-07,0.000213819,194.4563758,151.6132385,1.000691652,0.000473824,219.3691275,306.2130143,0.999513447,0.000554815,1.00002718,0.003324217,137.5788594,222.7686834,2.814852362,3.395486288,0.002727463
1116,110-9312,1.001808882,0.000858414,2.27E-06,0.000309826,154.7766667,82.61600816,1.00249958,0.000828997,124.1333333,91.46918019,1.001268864,0.000844589,1.00002718,0.003324217,137.5788594,222.7686834,2.814852362,3.395486288,0.005489849
1117,110-9329,1.000133276,0.0007442,-2.99E-06,0.000160657,133.1711864,115.649342,1.000367403,0.000731033,162.6847458,155.5567544,0.999865115,0.000745029,1.00002718,0.003324217,137.5788594,222.7686834,2.814852362,3.395486288,0.003495208
1118,110-9343,0.998255908,0.00095306,2.87E-06,2.91E-04,124.4274194,95.27521548,0.999084413,0.000861999,44.84139785,75.2060179,0.998004556,0.000989054,1.00002718,0.003324217,137.5788594,222.7686834,2.814852362,3.395486288,0.004979718
1119,110-9350,1.001187682,0.000498183,4.96E-06,0.000231907,139.1791045,106.2551087,1.001625419,0.000518058,113.7985075,92.08893869,1.000779986,0.000466955,1.00002718,0.003324217,137.5788594,222.7686834,2.814852362,3.395486288,0.001850858
1120,110-9352,1.00006032,0.001400061,-8.88E-06,4.01E-04,51.91532258,55.73147091,1.00059557,0.001268817,70.63709677,73.18340719,0.999173582,0.001119105,1.00002718,0.003324217,137.5788594,222.7686834,2.814852362,3.395486288,0.00878602
